tweet_count,tweet_id,username,text,created at,url
285,1837771818234503356,Fabrizio Romano,"🔵👀 Pep Guardiola: ""I’m sorry to be sometimes arrogant... but I want to defend my club, especially in this modern day"".

""It's like everyone is expecting us to be not just relegated, but to disappear off the face of the earth, in the world..."". https://t.co/0rT15zVeV5",Sun Sep 22 08:32:00 +0000 2024,https://twitter.com/FabrizioRomano/status/1837771818234503356
286,1837761500175331361,Fabrizio Romano,"🔴🇫🇷 Kompany: ""Michael Olise, he's a special talent. It's a luxury at Bayern to have so many good players"".

""Michael did very well. His start at Bayern couldn't be much better. He has to keep going this way. I haven't got the feeling that he's a player who feels much pressure"". https://t.co/3DrUpbMxgd",Sun Sep 22 07:51:00 +0000 2024,https://twitter.com/FabrizioRomano/status/1837761500175331361
287,1837754453585170531,Fabrizio Romano,"🔵🌟 Pep Guardiola: ""Rico Lewis can play every position. He’s so smart!"".

""Ask 20 players: what is your position? They say: I play holding midfield, winger... Rico plays football!"".

""If you put him in one position, he knows exactly what he has to do"", says via @City_Xtra. https://t.co/i5fDs4ZnxW",Sun Sep 22 07:23:00 +0000 2024,https://twitter.com/FabrizioRomano/status/1837754453585170531
288,1837748917359747221,Fabrizio Romano,"🔵 Cole Palmer: ""Everybody knows Nicolas Jackson is a top player"".

""He needs to keep going. The Chelsea fans and players rate him highly, we know what he is capable of"". https://t.co/PIGgy3jdcc",Sun Sep 22 07:01:00 +0000 2024,https://twitter.com/FabrizioRomano/status/1837748917359747221
289,1837741871168475371,Fabrizio Romano,"⚪️✨ Ancelotti: ""Luka Modrić always plays at his maximum level, he's a guarantee for me"".

""Every player is better when he plays many minutes. Luka is always perfect, he starts and also when he plays as substitute"". https://t.co/1a4hv5fVJQ",Sun Sep 22 06:33:00 +0000 2024,https://twitter.com/FabrizioRomano/status/1837741871168475371
290,1837733569135071336,Fabrizio Romano,"🔵🇸🇳 Enzo Maresca: ""Nicolas Jackson was not only good because he scored twice, but the way he works off the ball has been fantastic"".

""I'm happy with him in terms of numbers, but especially happy because the way he works has been fantastic"". https://t.co/G9SCmzpj3i",Sun Sep 22 06:00:00 +0000 2024,https://twitter.com/FabrizioRomano/status/1837733569135071336
291,1837643887621689761,Fabrizio Romano,"🔵 Tosin Adarabioyo after beating West Ham: “Everybody knows our squad is phenomenal”.

“You can swap any player in or out and it's still going to be a high level”. https://t.co/tUDv54KFdx",Sun Sep 22 00:03:39 +0000 2024,https://twitter.com/FabrizioRomano/status/1837643887621689761
292,1837607248610140435,Fabrizio Romano,"⚪️🇧🇷 Ancelotti: “I’m not being unfair with Endrick. There are Mbappé, Rodrygo and Vinicius”.

“He needs to be patient. Calma, patience. He’s very good”. https://t.co/YzZYwkz4vj",Sat Sep 21 21:38:03 +0000 2024,https://twitter.com/FabrizioRomano/status/1837607248610140435
293,1837597072478163310,Fabrizio Romano,Job done for Real Madrid. ⚪️✨ https://t.co/i53bwZqGki,Sat Sep 21 20:57:37 +0000 2024,https://twitter.com/FabrizioRomano/status/1837597072478163310
294,1837595855714484487,Fabrizio Romano,⚪️🇫🇷 Endrick wins the penalty… and Kylian Mbappé scores his 6th season goal in all competitions for Real Madrid. https://t.co/46X9p7meil,Sat Sep 21 20:52:47 +0000 2024,https://twitter.com/FabrizioRomano/status/1837595855714484487
295,1837593396971819169,Fabrizio Romano,"⚪️🇧🇷 Vinicius Jr show for Real Madrid tonight!

◉ 55’ enters the pitch with Real losing 1-0.

◉ 75’ fantastic assist for Rodrygo’s goal.

◉ 78’ goal to win and close the game.

3 goals, 4 assists in 6 La Liga games. ✨ https://t.co/0PxXXUK39s",Sat Sep 21 20:43:01 +0000 2024,https://twitter.com/FabrizioRomano/status/1837593396971819169
296,1837592818933813519,Fabrizio Romano,"⚪️🇧🇷 Two goal, two assists this season for Rodrygo.

Crucial one for Real Madrid tonight. ✨ https://t.co/jrE1sFRSz4",Sat Sep 21 20:40:43 +0000 2024,https://twitter.com/FabrizioRomano/status/1837592818933813519
297,1837579222149214374,Fabrizio Romano,"🚨 Ten Hag furious at pundits saying Rashford was dropped as “something happened”.

“I have heard already this speculation from some pundits. It’s crazy!”.

“I’d say, as a person you’re not ok when you bring such speculation”.

“This is just rotation! I’m very happy with Marcus”. https://t.co/hp816IEbPZ",Sat Sep 21 19:46:41 +0000 2024,https://twitter.com/FabrizioRomano/status/1837579222149214374
298,1837569123464692060,Fabrizio Romano,"🔴 Ten Hag: “We should have won. In the first half, we left them alive. We should have scored one or two goals. The second half was more balance”.

“We have worked very hard as a team to be defensively compact. Also, on the ball we want very good structures and control”. https://t.co/TyX8eFhWMW",Sat Sep 21 19:06:34 +0000 2024,https://twitter.com/FabrizioRomano/status/1837569123464692060
299,1837567731148697728,Fabrizio Romano,🟡🔴 Galatasaray make it three! 🇹🇷 https://t.co/zHyfqv7hSc,Sat Sep 21 19:01:02 +0000 2024,https://twitter.com/FabrizioRomano/status/1837567731148697728
300,1837558009058181274,Fabrizio Romano,Shared points at Selhurst Park 🟰 https://t.co/53NhLCw06f,Sat Sep 21 18:22:24 +0000 2024,https://twitter.com/FabrizioRomano/status/1837558009058181274
301,1837544859369975830,Fabrizio Romano,"🔴🇺🇾 Arne Slot on Darwin Nunez: “We hope we are adding goals to his game, it’s what you need from a striker… but this work rate was really good”.

“We have a lot of good players, a lot of competition and as long as they keep performing it is a very good thing for me”. https://t.co/xZseRGjyW0",Sat Sep 21 17:30:09 +0000 2024,https://twitter.com/FabrizioRomano/status/1837544859369975830
302,1837528392565997839,Fabrizio Romano,"🔵🇪🇨 Maresca: “Top, top performance from Moises Caicedo again… he was very good”.

“Since we started, he has been fantastic. Today, once again, he was top. I’m very happy with Moi”. https://t.co/491amJw1i4",Sat Sep 21 16:24:43 +0000 2024,https://twitter.com/FabrizioRomano/status/1837528392565997839
303,1837521322470965672,Fabrizio Romano,"🔴⚠️ Erik ten Hag on decision to bench Rashford: “It was not difficult because we need to rotate”.

“Alejandro Garnacho also needs starts to get better and get more power. Therefore, we rotate”. https://t.co/aBHEsfLPBa",Sat Sep 21 15:56:37 +0000 2024,https://twitter.com/FabrizioRomano/status/1837521322470965672
304,1837521236043133397,Fabrizio Romano,⚪️🤛🏻 Spurs are back to three points! https://t.co/S3EEORdtHI,Sat Sep 21 15:56:16 +0000 2024,https://twitter.com/FabrizioRomano/status/1837521236043133397
305,1837520627739070872,Fabrizio Romano,🔴🇨🇴🇺🇾 Liverpool are back on track! https://t.co/a3qt8oPGu6,Sat Sep 21 15:53:51 +0000 2024,https://twitter.com/FabrizioRomano/status/1837520627739070872
306,1837513215963525383,Fabrizio Romano,"🔴🇩🇪 20 goals scored in the last 3 games for Bayern, just 3 conceded.

Vincent Kompany also becomes the first manager to win first three away games since Pep Guardiola in 2015/16. https://t.co/ppK7QGSUvm",Sat Sep 21 15:24:24 +0000 2024,https://twitter.com/FabrizioRomano/status/1837513215963525383
307,1837507727603478624,Fabrizio Romano,"🔴🇫🇷 Michael Olise subbed off after a brace and two assists today vs Werder Bremer…

5 goals, 2 assists in 3 games including Champions League debut as Bayern player. https://t.co/7G6eSZfuNd",Sat Sep 21 15:02:36 +0000 2024,https://twitter.com/FabrizioRomano/status/1837507727603478624
